"","cal_dt","cluster","sess"
"1","2016-08-01","18",189316
"2","2016-02-11","18",213121
"3","2016-01-12","18",231363
"4","2016-06-03","18",195360
"5","2016-04-05","18",212844
"6","2016-05-04","18",179766
"7","2016-03-06","18",314389
"8","2016-01-08","18",237440
"9","2016-02-07","18",287410
"10","2016-07-02","18",200576
"11","2016-05-31","18",207904
"12","2016-09-23","18",171739
"13","2016-08-24","18",165357
"14","2016-06-26","18",254426
"15","2016-02-15","18",232487
"16","2016-09-08","18",168364
"17","2016-07-25","18",196052
"18","2016-07-10","18",217493
"19","2016-05-27","18",187601
"20","2016-03-14","18",231701
"21","2016-01-16","18",250910
"22","2016-08-09","18",194991
"23","2016-04-28","18",207922
"24","2016-03-29","18",229787
"25","2016-07-06","18",192348
"26","2016-04-13","18",215321
"27","2016-06-11","18",218321
"28","2016-01-31","18",310773
"29","2016-06-07","18",194128
"30","2016-05-12","18",206320
"31","2016-09-04","18",232391
"32","2016-01-01","18",195083
"33","2016-08-05","18",185860
"34","2016-10-03","18",254938
"35","2016-05-20","18",179243
"36","2016-05-08","18",232446
"37","2016-06-15","18",199600
"38","2016-04-17","18",310594
"39","2016-08-13","18",146979
"40","2016-08-28","18",205490
"41","2016-02-23","18",229752
"42","2016-09-27","18",200657
"43","2016-05-16","18",278193
"44","2016-03-18","18",195164
"45","2016-03-22","18",216727
"46","2016-07-29","18",164975
"47","2016-10-11","18",178075
"48","2016-06-30","18",191797
"49","2016-09-12","18",185310
"50","2016-03-26","18",202213
"51","2016-05-09","18",203318
"52","2016-07-14","18",191622
"53","2016-10-07","18",191736
"54","2016-03-03","18",218396
"55","2016-01-20","18",221933
"56","2016-06-04","18",205532
"57","2016-06-19","18",282788
"58","2016-08-21","18",226622
"59","2016-04-21","18",193968
"60","2016-02-19","18",213016
"61","2016-05-01","18",288815
"62","2016-04-02","18",213556
"63","2016-10-15","18",166689
"64","2016-09-16","18",176528
"65","2016-07-22","18",164627
"66","2016-06-23","18",173190
"67","2016-09-01","18",168462
"68","2016-08-02","18",193263
"69","2016-10-19","18",175492
"70","2016-06-27","18",200716
"71","2016-07-18","18",190832
"72","2016-05-24","18",213874
"73","2016-08-17","18",173474
"74","2016-08-25","18",160625
"75","2016-09-20","18",192671
"76","2016-07-03","18",242927
"77","2016-04-25","18",237022
"78","2016-07-26","18",187319
"79","2016-01-05","18",244384
"80","2016-04-06","18",217941
"81","2016-02-27","18",229188
"82","2016-10-08","18",207855
"83","2016-05-05","18",207398
"84","2016-03-07","18",236818
"85","2016-02-04","18",210066
"86","2016-07-11","18",199716
"87","2016-01-24","18",304028
"88","2016-08-06","18",168670
"89","2016-09-09","18",163758
"90","2016-02-12","18",209570
"91","2016-07-30","18",161189
"92","2016-05-28","18",194029
"93","2016-03-11","18",211052
"94","2016-08-10","18",188589
"95","2016-10-04","18",201328
"96","2016-09-24","18",173686
"97","2016-01-09","18",254251
"98","2016-01-17","18",309444
"99","2016-01-28","18",217794
"100","2016-02-16","18",221205
"101","2016-09-05","18",198230
"102","2016-01-13","18",227825
"103","2016-03-30","18",231613
"104","2016-09-28","18",187707
"105","2016-03-15","18",229101
"106","2016-07-07","18",172234
"107","2016-06-08","18",208725
"108","2016-08-29","18",194269
"109","2016-04-10","18",282299
"110","2016-09-13","18",173430
"111","2016-03-19","18",214495
"112","2016-02-08","18",233333
"113","2016-01-21","18",215095
"114","2016-06-12","18",282357
"115","2016-04-22","18",191144
"116","2016-10-16","18",208484
"117","2016-04-29","18",187007
"118","2016-02-01","18",231846
"119","2016-08-14","18",183056
"120","2016-04-14","18",207193
"121","2016-10-12","18",169586
